,Ratings,Title,Content
2,4.0 out of 5 stars,100% honest review,"







  
  
    Taking the Apple AirPods at face value, they're a solid headset for the money! If you already have the original, first generation AirPods and just want to upgrade, not a bad option either. The 2nd generation AirPods feature an improved software chip & runs off of BlueTooth 5.0 vs 4.1 (Gen 1). The software chip allows a faster, stronger, and more stable connection with your device(s). This particular item for $139.00 does NOT feature the wireless charging case. This one must be plugged in via USB (cable provided in the box) to an outlet or USB port. The wireless charging case model is $169. Now if you're looking to upgrade to the wireless charging case later on, you can. Apple does sell it separately. If you want the wireless charging option right out of the box, I recommend sending the $169 vs the $139 product here.Sound quality: Straight out of the box, sound is pretty solid. No crackles, static, pops, or any abnormal noises created by the more economic-friendly headsets. You have a lot more adjustability & tuning capabilities if paired on an iOS/Apple device vs using for example paired with an Android OS device. So, ultimately Apple users may or may not get a better sound quality experience.Noise cancellation: AirPods do fit fairly well in the ear without having to be jammed inside your ear canal. Generally they create a snug fit using Apple's ""universal"" earphone design, it is one size fits most not one size fits all. Some users have upgraded or opted to spend the additional funds on a set of AirPods Pro due to the rubber tips for a better/snug fit. I believe only the AirPods Pro currently has an active noise cancellation utilizing two microphones but I would double-check Apple for accurate information. Also, for Android users. The Galaxy buds by Samsung feature active noise cancellation & wireless charging case on every model so you might want to look into that product before making a final purchase.Battery life: For optimal battery life, I highly recommend charging both AirPods inside the case. The case itself is a battery pack with a life. So if one or both AirPods are low on battery, you can toss them in the case and charge them up. Apple I believe rates 5 minutes of charging time is equivalent to 1 hour of talk/listening time and 15 minutes of charging time is equivalent to 2 hours of talk/listening. I'm sure this is accurate when they're brand new but I'm sure like anything, normal ware & tare might diminish that over time.Warranty: Apple provides a 1-year standard manufacturer's warranty on this product. This ONLY covers defects/defaults from the manufacturer. This will NOT cover physical and/or liquid damages to AirPods, case, or charging cable included.AppleCare: It's $29.00 and 2 years and well worth the extra money. You're already spending this kind of money on a headset, may as well have protection. We get it, accidents happen! But protect yourself and get your AirPods repaired/replaced at no additional cost to YOU! There is no additional fees or deductibles involved.AppleCare tips:You don't have to install AppleCare right away. You have 60 days from the original purchase date to contact Apple by providing your AirPods serial number (on outside of the box) and Apple will tell you if you're still eligible.You can renew AppleCare for another 2 years for the same fee of $29.00 provided you want to keep the same product. If you decide to upgrade to the AirPods Pro or whatever the latest model is, you would have to purchase AppleCare for that specific product.You can go into an Apple store location and get live repair/replacement on your AirPods.Using AirPods with Android:Apple has allowed Android and other non-iOS devices to use AirPods since the AirPods pair/connect via BlueTooth.If you're using AirPods on an Android platform such as Samsung or LG for example there's 2 ways to pair the headset to your device. You either turn on BlueTooth on your device, pop both AirPods inside your ear, find ""AirPods"" under available connections, and connect. Or you might have to pair manually using the button on the AirPods case to make available, pair, and connect.FAIR WARNING:You will NOT have access to all features that the AirPods have to offer on an Apple/iOS device. You will be limited on functions you can perform.I was able to find an app on Google play store for $1.99 called ""AirPopUp"". It is a paid application that unlock access to certain/more features of the AirPods similar to what an Apple/iOS device would be granted. Be aware that you will NOT have access nor the ability to have every single feature since you're not on Apple's network. There may be other apps (most likely paid applications) you'd have to find that may unlock more features such as: AirPods battery life percentage, case battery life percentage, programming LEFT & RIGHT AirPods for certain function(s), skipping/pausing/resetting songs, answer/decline/hang up phone calls, find my AirPods, and more.For Samsung users specifically, you might want to look into the Galaxy Buds. They're a little cheaper than AirPods, I believe Amazon has them for $109.99 + $22 3-Year insurance through Assurion that does cover physical/liquid/accidental damage just like AirPods.Galaxy Buds features:Made by SamsungAudio powered by AKGRubber ear bud tipsPair with Samsung device to get the mostWireless charging caseActive noise cancellationComes in multiple colors (black/white/silver/yellow/red & black combo with Star Wars edition Galaxy Note 10+)Includes changing cord and replacement rubber earbud tips.I know if you pair the Galaxy Buds with a Samsung device it will automatically download an application titled ""Galaxy Wearable"". This allows users to check battery life status of the case and each bud, prompts you for software updates, ability to program LEFT & RIGHT earbuds to do certain function(s), answer/decline/hang up phone calls, pause/skip/reset songs.Apple may charge a lot of money for their products on accessories but they never fall short of being a revolutionary, well-designed, reliable product that works as advertised.
  
"
3,5.0 out of 5 stars,They are real,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     These are very much so real and they fit perfect and sound perfect because me personally I like it when my music is blasting in my ears and I will say these are pretty good at blasting music they get loud but not unnecessarily loud and the base on them is pretty girlie and if you have them blasting music you can’t hear people at all so all around good product 👍🏾
  
"
4,5.0 out of 5 stars,Excelentes .. mi opinión !!,"







  
    Excelente .. tenía mis dudas por los malos comentarios .. pero responderé a las dudas de todos .. son originales..nuevos sellados .. la serie 2 ..muchos no entiendes qué hay dos modelos uno con carga inalámbrica y otro con cable .. y este con cable cuesta menos .. y están en oferta por Amazon .. quien los vende y envía .. tienen garantía por Amazon y por apple de un año que la activas luego de la compra y empieza a correr .. envío rápido y confiable .. las malas críticas son vendedores de eBay,tiendas y personas que no leen bien o no sabe lo que pidieron a esos que los piden usados .. me duran 3 horas o más con música .. nunca los e descargado completo ya que me termino cansando .. no creo alguien necesite mas .. aparte de ser así con 15 minutos en la caja tienes una carga completa .. encantado .. los recomiendo
  
  
"
5,4.0 out of 5 stars,AirPod 2 vs Jabra Actives,"







  
  
    I have both the AirPods and the Jabra Elite Actives. I like them both but for different reasonsAirPods Pros- light,-comfortable,-Wonderful phone call performance (at both ends)- great charging case-5 hour battery life- open design allows you to hear traffic, conversations, etc (this is a negative in noisy environments)AirPod Cons:- will not stay in without earhooks- Not water/sweat proof.Jabra Pros:- great sound isolation (especially with Comfort tips)- better base than AirPods,- good battery life,-not as obtrusive as the q-tip AirPods-Much better water/sweat protectionJabra Cons:- the absolute worst customer service you will EVER find. Hope you will never have to use it. I had to return two before I got a pair that worked. THANK YOU AMAZON!If I had to buy just one, it would be the AirPods. But, the Jabras are better in the gym or in noisy environments.
  
"
6,1.0 out of 5 stars,My left headphone did not work,"







  
  
    Did not work , very unimpressed with how they didn’t work the left headphone did not work at all , i didn’t drop them or anything straight out of the box and they weren’t working
  
"
7,5.0 out of 5 stars,Absolutely love these AirPods!,"


















    
        

        
        
            
        

        
            
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
        
    
    








  
  
     So glad I got these for only $100! Was debating between the Generation 3 AirPods. It’s my first time owning AirPods so I said why not try the gen 2 first since it’s only $100 compared to $180 for the 3’s. And I’m glad I did! These things sound amazing! The tech inside of them are amazing also. The auto pause when you remove them from your ear is dope! The charge is really good! And the connection is REALLY good. Left my phone in my room and went downstairs to do some things and it was still connected playing my music! LOVE THESE THINGS!!! Can’t beat $100 for these.
  
"
8,5.0 out of 5 stars,Original !!!! Awesome,"







  
  
    They are original! I compared them to the ones that my coworker had bought from apple and they are legit. They were NOT dirty ( I was afraid of that being an issue since I read other reviews complaining about it ) but not my case! They came super quick and  nice and properly sealed. Charger, case and AirPods brand new out of the box. I’m very happy with this purchase. Have been using it 24/7 and the battery life is awesome!!! Can’t be happier
  
"
9,5.0 out of 5 stars,"The REAL deal, Worth your money","







  
  
    I received  my package in two days! When I first tried them out it right away connected to my phone! I’m very impressed with the sound these airpods provide, I was worried that I didn’t get the right ones at first because it didn’t have a led light in the front, but later I found out that the led on the outside is only for the wireless charger, I will definitely buy again, I’m very pleased!I also was a little worried because I saw some reviews that others left that they got fakes, but I’m telling you right now you have nothing to worry about, they are 100% real and worth your money.
  
"
0,1.0 out of 5 stars,connecting for phone calls,"







  
  
    I've had these air pods for a little under 2 weeks and having a very tough time connecting the air pods to my phone for calls. Multiple issues.
  
"
1,5.0 out of 5 stars,Convenience tied together while offering an outstanding circumference of bass and treble.,"







  
  
    This is my first pair of wireless headphones (coming from the lightning pods) and the convenience is literally easier than plugging in a wire for audio. The literal second you take an AirPod out it will be connected to whichever device you choose. The audio quality is amazing! Cranking the knob to the max and the pods handle heavy bass tracks very well in circumference while tying treble to clarity amongst very busy audio. If you have an iWatch with cellular then you literally don’t need your iPhone anymore. Amazing!!!
  
"
2,3.0 out of 5 stars,Can the Anker Soundcore Liberty 2 compete with the Apple AirPods 2 at $40 less?,"







  
  
    Although the 2nd generation AirPods came out in March 2019, improvements are merely incremental. At the $100 price point, can the recently released Anker Soundcore Liberty 2 compete? Read on to learn how the more expensive latest $140 Apple AirPods stack up versus Soundcore Liberty 2 Pro:QUICK SPOILER ANSWER ANKER VS. APPLE AIRPODS:Yes indeed. At $40 less, the Anker boasts equal sounds and noise cancellation not offered by Apple unless upgrading to the $250 Pro model. The Apple AirPod 2 is the perennial best seller in this price range. You won’t be disappointed unless you need the awesome feature of noise cancellation. The $100 Anker is very well spent and does includes noise cancellation and an equalizer to balance the sound to your taste.SOUND QUALITYI specialize in tech reviews and place the far highest priority on listening quality. If it’s better mic quality you are after, or have hearing difficulty, the AirPods are a bit better, capturing more-subtle voice tones. But for music, the Anker equals Apple’s impressive sound. Once you nail the fit, both will impress all but audiophiles in all aspects of sound quality: accuracy, tonal range, non-fatiguing, and punchy (but not annoying) bass.Speaking of bass, Anker does punch it up. The highs are slightly rounded off, the midrange is fairly flat, and the low end is boosted.NOISE CANCELLATION: Apple vs. AnkerThis Apple model has none unless you spring for the newest $250 Pro version. For a lower price, the Anker’s have it, and do a worthy job. This feature alone lets Anker win the race vs. the lastest Apple AirPod. If you haven’t experienced noise cancellation in headphones, or earbuds, you’ll likely be as blown away as I was. I got my first noise cancelation Bose headphones six years ago when they were the only game in town. Life changing, truly. A must for any noisy environment and a godsend for rest on long airplane trips.The Anker’s were my second noise cancelling earbuds, and while not spectacular like the class leading $250 Sony’s, the result is satisfying. I urge you to audition this feature. When making, phone calls, you may prefer it off.CONTROLLING THE SOUND: APPLE VS. THE ANKER EQUALIZER APP:With the Apple AirPods, open Settings, Tap Music, and then EQ under the Playback tab. Although the Soundcore Liberty 2 boosts the bass, some of us prefer a more nuanced and balanced sound. With either of the new Anker’s the app is a terrific add on. You can get the sound balanced to your tastes easily.ADDITIONAL EARBUD REVIEWS COMPARISONS:If tempted to spend another $100 for the Apple AirPods Pro, have a look at my detailed review of the awesome Sony’s compared with the Apple AirPod:https://www.amazon.com/gp/customer-reviews/R3CQKVFI571CDE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07T81554HSHOULD YOU SPEND MORE? VALUE AND OVERALL BEST CHOICE:Although only released in December 2016, the “age” of the AirPod technology is showing. If you can spend more, in late 2019 Apple released it’s latest Airpods Pro. At nearly double the price these hit a “whole ‘nuther level” for Apple to compare closely with the extraordinary high end Sony WF-1000XM3 at a similar $250+ price.If you can spend $200+ Sony the new Sheriff in town and in my opinion beats even the newest $250 Apple AirPods. However, at $100, the Anker’s impress and are better than the basic Apple AirPods with one great advantage: noise cancellation. If you don’t like the black color, go with the sleek and now classic $150 Apple model.Thanks for slogging through this long review. Hope it has helped your important buying decision.NOW TIME TO RELAX AND KICK UP THE JAMS!
  
"
3,3.0 out of 5 stars,DID NOT COME WITH THE NEWEST CHARGING CASE!!,"







  
  
    I was spectacle at first buying these online and not at an Apple store, but they are the newest model of airpods. Unfortunately, the charging case that came with it, is actually the case that comes with the original airpods. The new case has the LED on the outside, not on the inside and the Bluetooth pairing button on the back, is supposed to be in the middle of the case, not any lower. These are the new airpods, however, it came with the old case for the original airpods.
  
"
4,5.0 out of 5 stars,Held out for too long!,"







  
  
    I have been an anti-Apple/Android advocate for as many years as I can remember - Until Now. After lots of opinions from friends and colleagues I decided to take the plunge and spend some of my hard earned cash on ""the fruit's"" hottest new product - enter Airpods. These things are AWESOME! The technology in the small package is just mind blowing. I run/exercise every morning and work from home so I can use these in every aspect of my daily lift and they never seem to run out of juice! Some have stated sound quality is not up to ""X"" product but seriously?! Considering what features are packaged into these little pods I would argue they are better than anything you compare against them and they do it at a fraction of the cost! Audiophiles might stick their nose in the air but these things deliver great sound! You can compare them to a litany of Bluetooth wireless headphones which may be better in a certain aspect, but all of the other options give up features that these contain. My one complaint/recommendation for those that are worried about fitment or rigorous movement is to snag some of the Earbuddyz skins. They dramatically helped keep these things planted while I am running each morning and also add a little bit more noise cancellation. A+ Apple....Well done!
  
"
5,5.0 out of 5 stars,Buena calidad,"







  
    Por ahora el producto funciona perfectamente y es de buena calidad llego súper rápido, estoy satisfecha con la compra .
  
  
"
6,5.0 out of 5 stars,They are just amazing!!!,"







  
  
    These are the best pair of wireless earphones I ever came across, apple has definitely done it again. Being an apple fan, I love these! They are so easy to connect! Once I connected them to my iPhone, they were seamlessly connected to my other apple devices. All I have to do is select them in the list from the device you need them to connect and you are good to go. Another good thing is turning them on/off is easy, just remove them from the charging case and they turn on and put them back to turn them off, its simple. And like most of the earphones out there, they connect to the last device you used them with, but its easy to switch device.You have the flexibility to just use one piece, if you like and sometimes it does come handy. Another function I like is the automatic ear detection, just remove a piece from you ear and playback will pause and resume once you put it back, this does help when someone drops by for a conversation and you don't need to actually pickup your phone to pause the playback.The battery life is definitely impressive, I need to charge the case every 2 days. And it's easy to carry everywhere, it being so small.Now the sound quality is crisp and connection is smooth, I found that the 2nd gen AirPods are actually better and improved on 1st gen, but its not worth to upgrade, but if you are planning to get your first one, I would definitely say go for the 2nd gen AirPods, I got a pretty sweet deal on amazon and am very happy with my purchase.
  
"
7,5.0 out of 5 stars,Love my new AirPods!,"







  
  
    I love my new AirPods! I was told my order would take two weeks to get to me but amazon prime is awesome and I received them within 4 days! The AirPods are the real deal. I saw some reviews about knockoffs being sent, not sure what that was about but my order was correct. They were insanely simple to connect to my phone and then I was able to have them connected to my other devices as well. The battery life is perfect too. I especially like how placing them back into the case charges them when not using them. You don’t have to actually have the case plugged into the wall to charge them.
  
"
8,5.0 out of 5 stars,not worth the hype,"







  
  
    these do not live up to the hype. the airpods do not fit in my ears, they don’t have any sort of noise canceling, and the most i’ve gotten out of two pairs is three months of regular use. the first pair only lasted a month. i sent them back under warranty and they sent me a new pair. and yesterday ( May 9) the right airpod blew out. these lasted only three months. i’ve had a pair of beats solo 2 for almost three years. these are also technically an apple product and i am disappointed in the amount of time that these expensive listening devices last. i refuse to believe that this is a coincidence because i have had two identical pairs and both resulted in the same outcome.
  
"
9,5.0 out of 5 stars,Why you should upgrade from the original Airpods or buy new,"







  
  
    The Good:-Much faster connection and switching between devices than original Airpods-Longer battery life-Can say “Hey Siri” versus double tapping on the original Airpods-Stylish-Great sound and microphone works well-Fits well in ear-Incredibly easy to use and pair-Charging case Charges Airpods quickly and reliably-Can track last location of Airpods with Find iPhoneThe Bad:-A bit expensive but Airpods work the bets with iOS devicesThe Bottom Line:I own both the original and latest model of the Airpods and I think it is worth upgrading from the original Airpods. The new H1 chip is SO much faster for connecting to your device and switching between devices. I use these all the time and the speed of connecting to devices and the longer battery life are worth it to me. I also like being able to say “Hey Siri” on the latest model Airpods versus double tapping on the original models. Most everything else hasn’t changed as the look is the same and the charging case is the same. I did not get the wireless charging case as I thought it was a bit expensive. The sound is still fantastic and the microphone works great (I use these to talk to clients a lot during the day). I like the look of the Airpods compared to some of the other options out there (the Bose ones stick out of your ears pretty far which to me seems strange). Overall, I would recommend either purchasing these latest Airpods if you have an Apple device or upgrading from the original Airpods (for the speed of connecting to your devices alone)!***Update as of June 9, 2019My Airpod 2nd generation are still going strong and would still highly recommend!
  
"
0,5.0 out of 5 stars,Best Headphones ever!,"







  
  
    If you were thinking about upgrading to the new AirPods stop thinking and start doing! There new AirPods are everything you will ever need in a pair of headphones!
  
"
1,5.0 out of 5 stars,It’s gr8,"







  
  
    It’s a great product
  
"
2,1.0 out of 5 stars,Waste of Money!,"







  
  
    This is a waste of money! After having the AirPods for 1 week the left side decided to stop working. I contacted support and was told I have to pay $69 to get just the left AirPod replaced. Seeming as I just spent $150 to buy them in the first place you can imagine my frustration. Don’t waste your money on these cheap no good AirPods
  
"
3,5.0 out of 5 stars,"I can clear things up for you-the listing is a lie, but I’m happy with the purchase.","







  
  
    There seems to be a lot of confusion about how the seller is offering these for this price and whether or not these are first generation or second generation.  I believe I can help to quickly/easily clear up some of the confusion. These are indeed genuine Apple products. They arrived sealed in the box, they appear to be in brand new condition, the serial numbers match/check out, and I am pleased with what I received for the price.  That said, these are in fact second generation (newest version of this older style) EARBUDS... but the CASE is in fact the *first generation*, or, the older version of this style of earbuds.  That means no light on the front of the case, and no wireless charging.  I do not wirelessly charge my earbuds, I use a cord so it does not bother me. This does come with the Apple lightning cable to charge them.  All of these things aside, the ad itself claims that the case itself is a 2nd generation as well, which is a straight up lie.  So for this reason, I had initially left a 3 out of 5 star review, until I was at Costco today (2/2/2020) and saw the *exact* same thing... gen 2 AirPods, sold as gen 2 AirPods, in a gen 1 case....no light, no wireless charging, comes with a charging cord, for the exact same price.. hell maybe this seller *is* Costco... either way, I changed my review to 5 stars so I could sleep at night. Thanks seller!
  
"
4,5.0 out of 5 stars,"There’s a reason Apple costs what it does. It’s worth it, and everyone knows it.","







  
  
    These earbuds have been fantastic so far. People criticize the price, but I’m sorry, there is a reason for it. I never tried the previous version, but these ones connect to my iPhone, iPad, and bluetooth transceiver almost instantly. They are very comfortable and stay in my ears with no issues. I’ve tried cheaper bluetooth earbuds, in the 50$ range, and the difference was night and day. I would pay the extra 100$ on these every day for the increase of build quality and performance.
  
"
5,5.0 out of 5 stars,These really made me wish I hadn't wasted time and money with other brands,"







  
  
    THE SHORT REVIEW -If you are in the Apple universe, get these.Don't bother wasting your time and money getting non-Apple pods. I already did that for you.THE LONGER REVIEW -I've had three other brands - two of them, very reputable ones - and had issues with all of them, ranging from connectivity to sound quality. The biggest issue was with phone calls which sounded fine to me, but, judging from the complaints, not so much for those on the other end of the calls.Soooo, I finally bit the bullet on Prime Day and got real AirPods. The minute I put them in, I could see and hear that there was no comparison.WHY ARE THESE SO MUCH BETTER?— The sound quality is noticeably superior and connectivity is a dream.— The battery life is great and you can see how much power each pod has.— The case is the charger and it holds a charge for a very long time after it is unplugged. You can pop the AirPods into it and they recharge without having to be connected to anything.— You can use Apple's ""Find My..."" app to locate them if you misplace them. The Find My app locates the case, not the pods, so I now keep the case in my pocket or purse when wearing the pods. That way, when I take them out, I can put them in the case so that when I put the case down, it can be found wherever I've left it.— You can choose to have Siri announce incoming calls and ask whether or not you want to answer each one. Every time I get a call, I think about how much I love that feature.— Siri also reads to you the Messages that you get while wearing the pods.— Using AirPods is generally intuitive, but do read the instructions to know what and how to tap to activate different functions.One little glitch is that, sometimes when I'm listening to music through the AirPods, I'll say something to my husband and Siri will think I'm talking to her and butt in. It's a little annoying, but anyone who has a device with an ""assistant"" knows that that is part of the deal.I got this version because my son has had them since they debuted and loves them. I saw no reason to pay more for features I probably wouldn't use. I love them... and I mean LOVE them.I cannot say how they work with non-Apple products because I only have Apple.THE BOTTOM LINE:As I stated at the beginning of this review, get these. They have been worth every penny.Don't waste your time and money getting non-Apple pods. I already did that for you.
  
"
6,5.0 out of 5 stars,Winner for best gift,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     I got these for my 11 year old for Christmas. He absolutely loves them. They charge quickly and hold a charge for a while. My son plays basketball and can be rough. They work perfect despite being dropped.
  
"
7,1.0 out of 5 stars,Right bud stop working after two months. Apple sucks! Amazon is helpful!,"







  
  
    Right bud stop working after two months with normal use and no damage. Tried different way to reset the device still cannot make it work. Contacted with amazon custom service, first get transfer to apple custom service, being told that need to pay $75 to repair, later amazon customer service helped to fully refund.Did a little bit research online, the quality control for airpods 2 is very bad. Many people reported different problems.Although the product is fine but with this quality control, buying airpods 2 is just like buying lottery.
  
"
8,5.0 out of 5 stars,These are not fake,"







  
  
    I recently had bought these airpods. After buying I had checked the reviews, a lot of reviews said they were fake. In the comments it was very controversial whether they were fake or not. Some believed they were and others believe they weren't. You can check to see if they are real if you go to checkcoverage.apple.com this is a site runned by apple. The site is used for you to fill in your serial number (which can be found on one of the thinner sides of the box on a sticker. You type in your serial number and it will tell you what generation you have and whether it is a valid and real. Mine came up as real and also showed my 2 year apple care warranty too. I believe many people thought it was fake because when you first connect them it's name comes up as ""Me's Airpods,"" However, you can change the name. People probably also typed in the wrong serial number, the serial number validation site is very key sensitive. Many sites say the serial number is the model number which is incorrect. The serial number is extremely long and complicated, whereas the model type is shorter and less complicated. If you look at the top of this product you can see the store selling these airpods are called ""Apple store"" If this was a fake apple site amazon would have said or shut the site down already. Amazon knows when shops are fake or claim to be something they aren't. Amazon would have been sued by now if these were actually fake. Another way to know if your airpods are fake is to check if you can find them on Find My Iphone. If your airpods are connected to phone and you have everything set up it should pop up. If they were fake they wouldn't show. However, you have to make sure your airpods are connected to your phone and everything is set up so you airpods can be found on find my iphone.
  
"
9,5.0 out of 5 stars,GREATTTT PURCHASE👌🏼,"


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     When i tell you i couldn’t wait for my EarPods to come i couldn’t wait i ordered them Friday and they came next day afternoon they are AMAZING I LOVEEEEE EM. I’m a person that’s big on sound and they sound amazing, They really block out any noises around and if you’re listening to music n you take one pod out the ear it automatically pauses you also can have the option of getting your messages read out loud in the pods. I Love them Great Purchase like everything else i order from Amazon👍🏻
  
"
